Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Редько,Захар,Петрович,Чоловіча,25.05.1969,Адвокат,селище Південне ,"шосе Міцкевича, буд. 17, Гірське, 86983",086 960-60-91,oles89@example.net
Батуринець,Соломія,Єгорівна,Жіноча,15.10.1942,Машиніст,місто Бар,"площа Басейна, буд. 777 кв. 94, Дніпро , 90563",+380 73 222-01-49,nazar09@example.net
Стець,Василина,Дмитрівна,Жіноча,29.05.1941,Намотувальник,селище Васильків,"шосе Прорізна, буд. 9 кв. 59, Вознесенівка, 79541",+380 (01) 439-01-15,ievhen16@example.org
Ващенко,Оксана,Михайлівна,Жіноча,21.05.1997,Кушнір,село Снігурівка,"шосе Степна, буд. 3, Баранівка, 05732",338 54 98,mromanchuk@example.org
Рубан,Святослава,Дмитрівна,Жіноча,20.06.1977,Фізик,селище Олевськ,"узвіз Черняховського, буд. 9, Городище , 45026",311-78-02,trokhymskorobohatko@example.net
Вакарчук,Зиновій,Петрович,Чоловіча,14.05.1995,Науковець,місто Новогродівка,"парк Красна, буд. 76 кв. 18, Мостиська, 05620",042 007 07 27,iromanets@example.com
Ейбоженко,Гліб,Єгорович,Чоловіча,12.11.2000,Мистецтвознавець,селище Курахове,"провулок Львівський, буд. 831, Мирноград, 70092",+380 27 280-44-72,nestorandriishyn@example.net
Козак,Лариса,Володимирівна,Жіноча,02.05.1939,Правник,селище Радомишль,"площа Моторний 3-й, буд. 185 кв. 905, Молочанськ, 69601",022 144-57-66,ttiahnybok@example.com
Ковалюк,Федір,Єгорович,Чоловіча,22.07.1948,Біолог,селище Новояворівськ,"вулиця Новомосковська дорога, буд. 17, Антрацит , 31300",054 947 02 32,albinaiurchenko@example.org
Ващенко-Захарченко,Людмила,Іванівна,Жіноча,31.12.1988,Громадський діяч,село Жовті Води,"сквер Задніпровського, буд. 4 кв. 9, Берислав, 99109",+380 10 391-78-79,korpaniukopanas@example.net
Токар,Станіслав,Миколайович,Чоловіча,20.06.2001,Біолог,хутір Бориспіль,"провулок Івана Микитенка, буд. 44 кв. 880, Стрий, 81983",+380 (07) 162-29-62,solomiia44@example.org
Шаблій,Ярина,Андріївна,Жіноча,22.02.1952,Няня,селище Овруч,"шосе Чубаївський, буд. 09 кв. 38, Дрогобич, 23323",+380 41 389-50-07,tymchukomelian@example.org
Батуринець,Вікторія,Андріївна,Жіноча,02.11.1988,Паралегал,місто Новомиргород,"вулиця Олександра Невського 5-й, буд. 583, Кривий Ріг, 23169",+380 35 801-79-58,darahanvioletta@example.net
Базилевський,Онисим,Сергійович,Чоловіча,02.01.2001,Візажист,село Тетіїв,"вулиця Лиманний, буд. 84 кв. 7, Вишневе , 82409",+380 64 976 77 82,anzhelariaboshapka@example.net
Гунько,Пармен,Андрійович,Чоловіча,28.08.1967,Бізнесмен,село Чернігів,"набережна Вчительська, буд. 670 кв. 04, Подільськ, 57270",+380 03 066-17-05,velychkoklavdiia@example.org
Масоха,Амвросій,Олександрович,Чоловіча,05.08.1944,Стоматолог,село Камінь-Каширський,"провулок Васнецова, буд. 2 кв. 76, Ізяслав, 67665",069 807-41-60,ruslan98@example.net
Данькевич,Дан,Андрійович,Чоловіча,20.02.1963,Історик,хутір Герца,"узвіз Скидановська, буд. 158 кв. 37, Селидове, 49568",014-24-89,babychamaliia@example.com
Гайдай,Семен,Олександрович,Чоловіча,17.05.1992,Промисловець,село Кам'янка (Черкаська область),"проспект Басейний 6-й, буд. 13, Мостиська, 35085",+380 74 356-13-69,artymyshynarkadii@example.org
Бабʼяк,Климент,Володимирович,Чоловіча,22.03.1972,Єгер,селище Люботин,"проспект Маячний, буд. 62 кв. 5, Камінь-Каширський, 18641",+380 (12) 831-38-99,bandriievych@example.org
Носаченко,Климент,Олександрович,Чоловіча,04.01.1993,Правник,хутір Новомосковськ,"проспект Амурський 2-й, буд. 62 кв. 93, Олешки, 72284",+380 49 116 42 32,kalchenkodan@example.org
Дацюк,Василина,Єгорівна,Жіноча,16.08.1961,Стоматолог,селище Новояворівськ,"проспект Джерельна, буд. 086, Боярка, 10694",+380 63 750 33 71,vashchenkofedir@example.net
Палій,Ольга,Петрівна,Жіноча,01.04.1983,Державний службовець,селище Скадовськ,"набережна Лінія 39-та, буд. 56 кв. 43, Апостолове, 52736",+380 95 945-13-14,myroslavhaidenko@example.net
Хоменко,Ліза,Михайлівна,Жіноча,23.07.1943,Парфюмер,хутір Гірське,"провулок Агрономічний, буд. 40, Алмазна, 62448",+380 36 928 77 75,karpamykhailyna@example.org
Бабій,Христина,Володимирівна,Жіноча,15.08.1963,Співак,місто Першотравенськ,"сквер Щукіна, буд. 055, Сколе, 70174",794-93-03,liliia07@example.com
Шаблій,Макар,Андрійович,Чоловіча,20.08.1987,Графік,хутір Андрушівка,"провулок Рівний, буд. 456, Горохів, 55828",220-63-36,divasiuk@example.org
Рудько,Олег,Миколайович,Чоловіча,19.01.1939,Географ,хутір Привілля,"узвіз Закарпатська, буд. 1 кв. 286, Міусинськ, 71188",+380 91 928 98 64,oiaremko@example.org
Чорновіл,Яків,Петрович,Чоловіча,17.11.1996,Кур'єр,місто Чигирин,"парк Прибережний, буд. 132 кв. 4, Первомайський , 89483",+380 68 365 16 95,alla87@example.com
Демʼянчук,Алла,Олександрівна,Жіноча,15.04.1965,Кухар,село Полонне,"сквер Яші Гордієнка, буд. 298, Вознесенськ, 34462",+380 19 075 20 41,liliiavyshniak@example.net
Іващенко,Леон,Сергійович,Чоловіча,14.07.2002,Гірник,місто Вінниця,"площа Цимлянська, буд. 081, Жмеринка, 63908",+380 (10) 866-33-81,panteleimonfranko@example.com
Артеменко,Роман,Володимирович,Чоловіча,05.08.1966,Фотограф,селище Сулимівка (Слов'янськ),"парк Маринеско узвіз, буд. 498 кв. 691, Сорокине, 78525",425 47 06,sahaloleh@example.org
Байда,Іван,Андрійович,Чоловіча,07.04.1990,Паралегал,хутір Гуляйполе,"шосе Ключовий 2-й, буд. 4, Кодима, 02137",947-72-99,zvakhnii@example.net
Ващенко-Захарченко,Пріска,Михайлівна,Жіноча,28.02.1993,Швачка,селище Інкерман,"узвіз Старокінний, буд. 036, Тростянець, 75435",346 91 02,amvrosiiprykhodko@example.net
Лесик,Микита,Іванович,Чоловіча,29.04.1939,Підприємець,село Коломия,"вулиця Іспанська, буд. 74, Чоп, 15272",+380 25 142 54 51,xpetrenko@example.com
